word,source_grade_hint,normalized_band,source_list,rank,count,academic,pos,notes,band,preferred_band,beginner_score,intermediate_score,advanced_score,source_tags,source_files
big,K,k-5th grade,beginner_k_to_5,8,,false,adj,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week6_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
by,1,k-5th grade,beginner_k_to_5,8,,false,prep,tier1_dolch+dolch_grade1+fry_overlap+grade1_week8_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
gave,2,k-5th grade,beginner_k_to_5,8,,false,n,tier1_dolch+dolch_grade2+fry_overlap+grade2_week7_item11,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
pick,3,k-5th grade,beginner_k_to_5,8,,false,v,tier1_dolch+dolch_grade3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
ride,K,k-5th grade,beginner_k_to_5,8,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week27_item14,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
barn,2,k-5th grade,beginner_k_to_5,9,,false,n,elementary_fill+grade2+grade2_week1_item9,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
her,1,k-5th grade,beginner_k_to_5,9,,false,pron,tier1_dolch+dolch_grade1+fry_overlap+grade1_week16_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
i,K,k-5th grade,beginner_k_to_5,9,,false,pron,tier1_dolch+dolch_preprimer+fry_overlap,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
on,K,k-5th grade,beginner_k_to_5,9,,false,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week4_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
six,2,k-5th grade,beginner_k_to_5,9,,false,det,tier1_dolch+dolch_grade3+fry_overlap+grade2_week19_item16,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
card,2,k-5th grade,beginner_k_to_5,10,,false,n,elementary_fill+grade2+grade2_week1_item10,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
come,K,k-5th grade,beginner_k_to_5,10,,false,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week25_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
into,K,k-5th grade,beginner_k_to_5,10,,false,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week17_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
us,2,k-5th grade,beginner_k_to_5,10,,false,pron,tier1_dolch+dolch_grade2+fry_overlap+grade2_week15_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
some,1,k-5th grade,beginner_k_to_5,11,,false,det,tier1_dolch+dolch_grade1+fry_overlap+grade1_week16_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
they,K,k-5th grade,beginner_k_to_5,11,,false,pron,tier1_dolch+dolch_primer+fry_overlap+grade1_week5_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
you,K,k-5th grade,beginner_k_to_5,11,,false,pron,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week2_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
blue,K,k-5th grade,beginner_k_to_5,12,,false,adj,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week8_item6,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
buy,2,k-5th grade,beginner_k_to_5,12,,false,v,tier1_dolch+dolch_grade2+fry_overlap+grade3_week17_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
cut,1,k-5th grade,beginner_k_to_5,12,,false,v,tier1_dolch+dolch_grade3+fry_overlap+grade1_week13_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
good,K,k-5th grade,beginner_k_to_5,12,,false,adj,tier1_dolch+dolch_primer+fry_overlap+grade1_week33_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
as,1,k-5th grade,beginner_k_to_5,13,,false,n,tier1_dolch+dolch_grade1+fry_overlap+grade1_week4_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
but,K,k-5th grade,beginner_k_to_5,13,,false,conj,tier1_dolch+dolch_primer+fry_overlap+grade1_week8_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
it,K,k-5th grade,beginner_k_to_5,13,,false,pron,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week3_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
eyes,2,k-5th grade,beginner_k_to_5,14,,false,n,elementary_fill+grade2+grade2_week1_item14,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
kind,2,k-5th grade,beginner_k_to_5,14,,false,n,tier1_dolch+dolch_grade3+fry_overlap+grade2_week8_item16,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
let,1,k-5th grade,beginner_k_to_5,14,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade1_week17_item8,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
red,K,k-5th grade,beginner_k_to_5,14,,false,adj,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week18_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
want,K,k-5th grade,beginner_k_to_5,14,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week9_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
at,K,k-5th grade,beginner_k_to_5,15,,false,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week6_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
date,2,k-5th grade,beginner_k_to_5,15,,false,n,elementary_fill+grade2+grade2_week1_item15,beginner,beginner,30.8,7.5,3.4,beginner_seed,beginner_k_to_5.csv
in,K,k-5th grade,beginner_k_to_5,15,,false,prep,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week2_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
oxen,4,k-5th grade,beginner_k_to_5,15,,false,n,elementary_fill+grade4+grade4_week1_item15,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
then,1,k-5th grade,beginner_k_to_5,15,,false,adv,tier1_dolch+dolch_grade1+fry_overlap+grade1_week15_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
fall,2,k-5th grade,beginner_k_to_5,16,,false,v,tier1_dolch+dolch_grade3+fry_overlap+grade2_week13_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
pan,1,k-5th grade,beginner_k_to_5,16,,false,n,elementary_fill+grade1+grade1_week2_item8,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
too,K,k-5th grade,beginner_k_to_5,16,,false,adv,tier1_dolch+dolch_primer+fry_overlap+grade2_week7_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
use,1,k-5th grade,beginner_k_to_5,16,,false,v,tier1_dolch+dolch_grade2+fry_overlap+grade1_week11_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
said,K,k-5th grade,beginner_k_to_5,17,,false,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week10_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
with,K,k-5th grade,beginner_k_to_5,17,,false,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week5_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
fast,2,k-5th grade,beginner_k_to_5,18,,false,adv,tier1_dolch+dolch_grade2+fry_overlap+grade2_week16_item6,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
jump,K,k-5th grade,beginner_k_to_5,18,,false,v,tier1_dolch+dolch_preprimer,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
walk,1,k-5th grade,beginner_k_to_5,18,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade3_week12_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
all,K,k-5th grade,beginner_k_to_5,19,,false,n,tier1_dolch+dolch_primer+fry_overlap+grade1_week9_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
call,2,k-5th grade,beginner_k_to_5,19,,false,v,tier1_dolch+dolch_grade2+fry_overlap,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
for,K,k-5th grade,beginner_k_to_5,19,,false,prep,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week4_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
when,1,k-5th grade,beginner_k_to_5,19,,false,adv,tier1_dolch+dolch_grade1+fry_overlap+grade1_week10_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
away,K,k-5th grade,beginner_k_to_5,20,,false,adv,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week18_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
four,K,k-5th grade,beginner_k_to_5,20,,false,det,tier1_dolch+dolch_primer+fry_overlap+grade2_week6_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
pull,2,k-5th grade,beginner_k_to_5,20,,false,v,tier1_dolch+dolch_grade2+grade2_week5_item15,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
much,2,k-5th grade,beginner_k_to_5,21,,false,n,tier1_dolch+dolch_grade3+fry_overlap+grade2_week19_item6,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
up,K,k-5th grade,beginner_k_to_5,21,,false,n,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week13_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
were,1,k-5th grade,beginner_k_to_5,21,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade1_week9_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
both,2,k-5th grade,beginner_k_to_5,22,,false,det,tier1_dolch+dolch_grade2+fry_overlap+grade3_week9_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
cap,1,k-5th grade,beginner_k_to_5,22,,false,n,elementary_fill+grade1+grade1_week3_item6,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
here,K,k-5th grade,beginner_k_to_5,22,,false,adv,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week13_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
may,1,k-5th grade,beginner_k_to_5,22,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade1_week25_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
own,3,k-5th grade,beginner_k_to_5,22,,false,n,tier1_dolch+dolch_grade3+fry_overlap+grade3_week2_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
saw,K,k-5th grade,beginner_k_to_5,22,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week3_item6,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
five,1,k-5th grade,beginner_k_to_5,23,,false,adj,tier1_dolch+dolch_grade2+fry_overlap+grade1_week28_item6,beginner,beginner,30.8,7.5,3.4,beginner_seed,beginner_k_to_5.csv
keep,3,k-5th grade,beginner_k_to_5,23,,false,v,tier1_dolch+dolch_grade3+fry_overlap+grade3_week3_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
look,K,k-5th grade,beginner_k_to_5,23,,false,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week18_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
mail,2,k-5th grade,beginner_k_to_5,23,,false,n,elementary_fill+grade2+grade2_week2_item7,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
nap,1,k-5th grade,beginner_k_to_5,23,,false,n,elementary_fill+grade1+grade1_week3_item7,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
out,K,k-5th grade,beginner_k_to_5,23,,false,prep,tier1_dolch+dolch_primer+fry_overlap+grade1_week14_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
them,1,k-5th grade,beginner_k_to_5,23,,false,pron,tier1_dolch+dolch_grade1+fry_overlap+grade1_week15_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
help,K,k-5th grade,beginner_k_to_5,24,,false,v,tier1_dolch+dolch_preprimer+fry_overlap+grade2_week6_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
pond,3,k-5th grade,beginner_k_to_5,24,,false,n,elementary_fill+grade3+grade3_week2_item8,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
show,1,k-5th grade,beginner_k_to_5,24,,false,v,tier1_dolch+dolch_grade3+fry_overlap+grade1_week31_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
sit,1,k-5th grade,beginner_k_to_5,24,,false,v,tier1_dolch+dolch_grade2+fry_overlap+grade1_week5_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
stop,1,k-5th grade,beginner_k_to_5,24,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade1_week32_item7,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
tap,1,k-5th grade,beginner_k_to_5,24,,false,n,elementary_fill+grade1+grade1_week3_item8,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
well,K,k-5th grade,beginner_k_to_5,24,,false,adv,tier1_dolch+dolch_primer+fry_overlap+grade1_week20_item8,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
ask,1,k-5th grade,beginner_k_to_5,25,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade2_week18_item9,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
be,K,k-5th grade,beginner_k_to_5,25,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week6_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
is,K,k-5th grade,beginner_k_to_5,25,,false,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week2_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
try,1,k-5th grade,beginner_k_to_5,25,,false,v,tier1_dolch+dolch_grade3+fry_overlap+grade1_week29_item6,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
wash,2,k-5th grade,beginner_k_to_5,25,,false,v,tier1_dolch+dolch_grade2+fry_overlap+grade2_week20_item9,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
fly,1,k-5th grade,beginner_k_to_5,26,,false,adv,tier1_dolch+dolch_grade1+fry_overlap+grade3_week18_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
hot,1,k-5th grade,beginner_k_to_5,26,,false,adj,tier1_dolch+dolch_grade3+fry_overlap+grade1_week9_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
make,K,k-5th grade,beginner_k_to_5,26,,false,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week16_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
ran,K,k-5th grade,beginner_k_to_5,26,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week2_item7,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
an,1,k-5th grade,beginner_k_to_5,27,,false,det,tier1_dolch+dolch_grade1+fry_overlap+grade1_week11_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
go,K,k-5th grade,beginner_k_to_5,27,,false,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week19_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
have,K,k-5th grade,beginner_k_to_5,27,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week6_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
or,1,k-5th grade,beginner_k_to_5,27,,false,conj,tier1_dolch+dolch_grade2+fry_overlap+grade1_week7_item2,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
paid,2,k-5th grade,beginner_k_to_5,27,,false,v,elementary_fill+grade2+grade2_week2_item11,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
far,2,k-5th grade,beginner_k_to_5,28,,false,adv,tier1_dolch+dolch_grade3+fry_overlap+grade2_week5_item13,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
read,2,k-5th grade,beginner_k_to_5,28,,false,v,tier1_dolch+dolch_grade2+fry_overlap+grade2_week14_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
am,K,k-5th grade,beginner_k_to_5,29,,false,v,tier1_dolch+dolch_primer+fry_overlap,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
over,1,k-5th grade,beginner_k_to_5,29,,false,prep,tier1_dolch+dolch_grade1+fry_overlap+grade2_week1_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
ten,1,k-5th grade,beginner_k_to_5,29,,false,det,tier1_dolch+dolch_grade3+fry_overlap+grade1_week19_item8,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
we,K,k-5th grade,beginner_k_to_5,29,,false,pron,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week9_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
draw,2,k-5th grade,beginner_k_to_5,30,,false,v,tier1_dolch+dolch_grade3+fry_overlap+grade2_week3_item11,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
eat,K,k-5th grade,beginner_k_to_5,30,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade2_week5_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
give,1,k-5th grade,beginner_k_to_5,30,,false,v,tier1_dolch+dolch_grade1+fry_overlap+grade2_week3_item4,beginner,beginner,30.8,7.5,3.4,beginner_seed,beginner_k_to_5.csv
sack,1,k-5th grade,beginner_k_to_5,30,,false,n,elementary_fill+grade1+grade1_week4_item6,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
two,K,k-5th grade,beginner_k_to_5,30,,false,det,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week18_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
why,2,k-5th grade,beginner_k_to_5,30,,false,adv,tier1_dolch+dolch_grade2+fry_overlap+grade2_week29_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
been,1,k-5th grade,beginner_k_to_5,31,,false,v,tier1_dolch+dolch_grade2+fry_overlap+grade1_week22_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
do,K,k-5th grade,beginner_k_to_5,31,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week12_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
just,1,k-5th grade,beginner_k_to_5,31,,false,n,tier1_dolch+dolch_grade1+fry_overlap+grade2_week4_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
once,1,k-5th grade,beginner_k_to_5,32,,false,adv,tier1_dolch+dolch_grade1+fry_overlap+grade3_week14_item4,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
play,K,k-5th grade,beginner_k_to_5,32,,false,v,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week27_item5,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
who,K,k-5th grade,beginner_k_to_5,32,,false,pron,tier1_dolch+dolch_primer+fry_overlap+grade1_week22_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
did,K,k-5th grade,beginner_k_to_5,33,,false,v,tier1_dolch+dolch_primer+fry_overlap+grade1_week24_item3,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
down,K,k-5th grade,beginner_k_to_5,33,,false,n,tier1_dolch+dolch_preprimer+fry_overlap+grade1_week24_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
from,1,k-5th grade,beginner_k_to_5,33,,false,prep,tier1_dolch+dolch_grade1+fry_overlap+grade1_week7_item1,beginner,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
